,Symbol,Name,Sector,Industy
0,MMM,3M,Industrials,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS
1,AOS,A. O. Smith,Industrials,HOUSEHOLD APPLIANCES
2,ABT,Abbott Laboratories,Health Care,PHARMACEUTICAL PREPARATIONS
3,ABBV,AbbVie,Health Care,PHARMACEUTICAL PREPARATIONS
4,ABMD,Abiomed,Health Care,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS
5,ACN,Accenture,Information Technology,"SERVICES-BUSINESS SERVICES, NEC"
6,ATVI,Activision Blizzard,Communication Services,SERVICES-PREPACKAGED SOFTWARE
7,ADM,ADM,Consumer Staples,FATS & OILS
8,ADBE,Adobe,Information Technology,SERVICES-PREPACKAGED SOFTWARE
9,AAP,Advance Auto Parts,Consumer Discretionary,RETAIL-AUTO & HOME SUPPLY STORES
10,AMD,Advanced Micro Devices,Information Technology,SEMICONDUCTORS & RELATED DEVICES
11,AES,AES Corp,Utilities,COGENERATION SERVICES & SMALL POWER PRODUCERS
12,AFL,Aflac,Financials,ACCIDENT & HEALTH INSURANCE
13,A,Agilent Technologies,Health Care,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS
14,APD,Air Products & Chemicals,Materials,INDUSTRIAL INORGANIC CHEMICALS
15,AKAM,Akamai Technologies,Information Technology,"SERVICES-BUSINESS SERVICES, NEC"
16,ALK,Alaska Air Group,Industrials,"AIR TRANSPORTATION, SCHEDULED"
17,ALB,Albemarle Corporation,Materials,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS"
18,ARE,Alexandria Real Estate Equities,Real Estate,REAL ESTATE INVESTMENT TRUSTS
19,ALGN,Align Technology,Health Care,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES"
20,ALLE,Allegion,Industrials,"SERVICES-DETECTIVE, GUARD & ARMORED CAR SERVICES"
21,LNT,Alliant Energy,Utilities,ELECTRIC & OTHER SERVICES COMBINED
22,ALL,Allstate Corp,Financials,"FIRE, MARINE & CASUALTY INSURANCE"
